epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net,pretraining_steps
474,41,2.7900000000000023,0 days 00:00:03.725944,0.3547102,12575,1,0.40612000000000614,12575,0 days 00:52:34.829229,True,True,10000
475,40,2.690000000000002,0 days 00:00:03.678120,0.43252215,12616,1,0.40622000000000624,12616,0 days 00:52:42.131851,True,True,10000
476,41,2.7900000000000023,0 days 00:00:03.726031,0.43171078,12658,1,0.40632000000000634,12658,0 days 00:52:49.479682,True,True,10000
477,41,2.7900000000000023,0 days 00:00:03.746930,0.43204838,12700,1,0.40642000000000644,12700,0 days 00:52:56.850820,True,True,10000
478,41,2.7900000000000023,0 days 00:00:03.718115,0.41779217,12742,1,0.40652000000000654,12742,0 days 00:53:04.188387,True,True,10000
479,41,2.7900000000000023,0 days 00:00:03.747020,0.45519757,12784,1,0.40662000000000664,12784,0 days 00:53:11.550649,True,True,10000
480,41,2.7900000000000023,0 days 00:00:03.709144,0.51573306,12826,1,0.40672000000000674,12826,0 days 00:53:18.881629,True,True,10000
481,41,2.7900000000000023,0 days 00:00:03.738745,0.48040193,12868,1,0.40682000000000684,12868,0 days 00:53:26.244756,True,True,10000
482,40,2.690000000000002,0 days 00:00:03.679343,0.43508863,12909,1,0.40692000000000694,12909,0 days 00:53:33.552199,True,True,10000
483,41,2.7900000000000023,0 days 00:00:03.735064,0.47858074,12951,1,0.40702000000000704,12951,0 days 00:53:40.908109,True,True,10000
484,41,2.7900000000000023,0 days 00:00:03.759847,0.46424162,12993,1,0.40712000000000714,12993,0 days 00:53:48.283234,True,True,10000
485,41,2.7900000000000023,0 days 00:00:03.702000,0.46194482,13035,1,0.40722000000000724,13035,0 days 00:53:55.608624,True,True,10000
486,41,2.7900000000000023,0 days 00:00:03.717018,0.48134667,13077,1,0.40732000000000734,13077,0 days 00:54:02.939833,True,True,10000
487,41,2.7900000000000023,0 days 00:00:03.702462,0.43734184,13119,1,0.40742000000000744,13119,0 days 00:54:10.259264,True,True,10000
488,41,2.7900000000000023,0 days 00:00:03.755018,0.46337605,13161,1,0.40752000000000754,13161,0 days 00:54:17.629011,True,True,10000
489,40,2.690000000000002,0 days 00:00:03.673495,0.53721726,13202,1,0.40762000000000764,13202,0 days 00:54:24.931683,True,True,10000
490,50,3.6899999999999995,0 days 00:00:05.585725,0.43098763,13253,1,0.40774000000000776,13253,0 days 00:54:34.143555,True,True,10000
491,41,2.7900000000000023,0 days 00:00:03.754297,0.55685353,13295,1,0.40784000000000786,13295,0 days 00:54:41.528819,True,True,10000
492,41,2.7900000000000023,0 days 00:00:03.736756,0.5387104,13337,1,0.40794000000000796,13337,0 days 00:54:48.877942,True,True,10000
493,41,2.7900000000000023,0 days 00:00:03.728325,0.58569366,13379,1,0.40804000000000806,13379,0 days 00:54:56.220287,True,True,10000
494,52,3.889999999999999,0 days 00:00:05.717557,0.52333456,13432,1,0.4081600000000082,13432,0 days 00:55:05.560145,True,True,10000
495,41,2.7900000000000023,0 days 00:00:03.732085,0.6579954,13474,1,0.4082600000000083,13474,0 days 00:55:12.908790,True,True,10000
496,52,3.889999999999999,0 days 00:00:06.756824,0.4787736,13527,1,0.4083800000000084,13527,0 days 00:55:23.282987,True,True,10000
497,41,2.7900000000000023,0 days 00:00:03.730150,0.5886849,13569,1,0.4084800000000085,13569,0 days 00:55:30.640014,True,True,10000
498,41,2.7900000000000023,0 days 00:00:03.724594,0.6024707,13611,1,0.4085800000000086,13611,0 days 00:55:37.984078,True,True,10000
499,41,2.7900000000000023,0 days 00:00:03.724262,0.6694153,13653,1,0.4086800000000087,13653,0 days 00:55:45.334894,True,True,10000
500,41,2.7900000000000023,0 days 00:00:03.685750,0.6701989,13695,1,0.4087800000000088,13695,0 days 00:55:52.646301,True,True,10000
501,41,2.7900000000000023,0 days 00:00:04.259411,0.5841733,13737,1,0.4088800000000089,13737,0 days 00:56:00.519999,True,True,10000
502,55,4.189999999999998,0 days 00:00:06.330116,0.6258246,13793,1,0.409000000000009,13793,0 days 00:56:10.474761,True,True,10000
503,59,4.589999999999996,0 days 00:00:09.035014,0.56992906,13853,1,0.40914000000000916,13853,0 days 00:56:23.129010,True,True,10000
504,41,2.7900000000000023,0 days 00:00:04.292740,0.74381554,13895,1,0.40924000000000926,13895,0 days 00:56:31.037568,True,True,10000
505,41,2.7900000000000023,0 days 00:00:03.729115,0.75824386,13937,1,0.40934000000000936,13937,0 days 00:56:38.390700,True,True,10000
506,71,5.789999999999992,0 days 00:00:08.874265,0.68634427,14009,1,0.4095000000000095,14009,0 days 00:56:50.887275,True,True,10000
507,76,6.28999999999999,0 days 00:00:11.554832,0.6994725,14086,1,0.4096800000000097,14086,0 days 00:57:06.069569,True,True,10000
508,40,2.690000000000002,0 days 00:00:03.666195,0.9382112,14127,1,0.4097800000000098,14127,0 days 00:57:13.363220,True,True,10000
