epoch,epoch_steps,tot_steps,tot_run_time,epsilon
138,9,1797,0 days 00:46:39.955786000,1
139,8,1806,0 days 00:46:56.028382000,1
140,18,1825,0 days 00:47:28.232623000,1
141,14,1840,0 days 00:47:49.951344000,1
142,9,1850,0 days 00:48:06.366625000,1
143,11,1862,0 days 00:48:23.504469000,1
144,14,1877,0 days 00:48:45.484507000,1
145,3,1881,0 days 00:48:56.755767000,1
146,5,1887,0 days 00:49:08.206053000,1
147,9,1897,0 days 00:49:23.996613000,1
148,9,1907,0 days 00:49:40.921663000,1
149,9,1917,0 days 00:49:57.701229000,1
150,3,1921,0 days 00:50:09.131978000,1
151,8,1930,0 days 00:50:25.117119000,1
152,14,1945,0 days 00:50:47.056674000,1
153,14,1960,0 days 00:51:09.155153000,1
154,14,1975,0 days 00:51:29.704868000,1
155,9,1985,0 days 00:51:46.088288000,1
156,8,1994,0 days 00:52:03.107156000,1
157,9,2004,0 days 00:52:19.989955000,1
158,3,2008,0 days 00:52:31.156088000,1
159,9,2018,0 days 00:52:49.181491000,1
160,14,2033,0 days 00:53:16.791552000,1
161,25,2059,0 days 00:53:56.144902000,1
162,14,2074,0 days 00:54:17.829011000,1
163,3,2078,0 days 00:54:29.180086000,1
164,12,2091,0 days 00:54:52.672741000,1
165,3,2095,0 days 00:55:04.965732000,1
166,9,2105,0 days 00:55:21.487216000,1
167,13,2119,0 days 00:55:45.472779000,1
168,9,2129,0 days 00:56:01.856212000,1
169,8,2138,0 days 00:56:18.422309000,1
170,14,2153,0 days 00:56:40.194819000,1
171,16,2170,0 days 00:57:07.677553000,1
172,14,2185,0 days 00:57:28.418562000,1
173,14,2200,0 days 00:57:50.661211000,1
174,9,2210,0 days 00:58:06.735924000,1
175,8,2219,0 days 00:58:23.388639000,1
176,14,2234,0 days 00:58:44.311997000,1
177,14,2249,0 days 00:59:06.305727000,1
178,17,2267,0 days 00:59:33.428992000,1
179,14,2282,0 days 00:59:55.275539000,1
180,9,2292,0 days 01:00:17.381280000,1
181,14,2307,0 days 01:00:38.818555000,1
182,9,2317,0 days 01:00:54.980406000,1
183,14,2332,0 days 01:01:16.556846000,1
184,3,2336,0 days 01:01:28.250827000,1
185,8,2345,0 days 01:01:45.614946000,1
186,14,2360,0 days 01:02:10.452720000,1
187,3,2364,0 days 01:02:21.724948000,1
188,3,2368,0 days 01:02:34.199554000,1
189,23,2392,0 days 01:03:14.119660000,1
