epoch,epoch_steps,epoch_rewards,epoch_time,epoch_avg_q,total_steps,epsilon,beta,memory_len,total_run_time,dueling,noisy_net
2599,221,20.79000000000004,0 days 00:00:55.224090,10.109188,104657,1,1.0,104657,0 days 08:53:26.169055,True,True
2600,340,32.69000000000021,0 days 00:01:09.046078,10.2024,104998,1,1.0,104998,0 days 08:54:38.865962,True,True
2601,328,31.490000000000194,0 days 00:01:03.593199,10.145417,105327,1,1.0,105327,0 days 08:55:46.101710,True,True
2602,343,32.990000000000215,0 days 00:00:54.490712,10.228467,105671,1,1.0,105671,0 days 08:56:44.239016,True,True
2603,570,55.69000000000054,0 days 00:01:22.279315,10.200532,106242,1,1.0,106242,0 days 08:58:10.169081,True,True
2604,431,41.79000000000034,0 days 00:01:05.965101,10.397513,106674,1,1.0,106674,0 days 08:59:19.790898,True,True
2605,223,20.99000000000004,0 days 00:00:53.082625,10.594258,106898,1,1.0,106898,0 days 09:00:16.531761,True,True
2606,346,33.29000000000022,0 days 00:01:04.003401,10.252743,107245,1,1.0,107245,0 days 09:01:24.176070,True,True
2607,146,13.289999999999965,0 days 00:00:21.845084,10.224131,107392,1,1.0,107392,0 days 09:01:49.675179,True,True
2608,461,44.79000000000038,0 days 00:01:07.147078,10.163511,107854,1,1.0,107854,0 days 09:03:00.471822,True,True
2609,417,40.39000000000032,0 days 00:01:16.794448,10.3733015,108272,1,1.0,108272,0 days 09:04:20.909553,True,True
2610,244,23.09000000000007,0 days 00:00:52.879031,10.163288,108517,1,1.0,108517,0 days 09:05:17.448194,True,True
2611,362,34.89000000000024,0 days 00:01:05.484372,10.29569,108880,1,1.0,108880,0 days 09:06:26.577979,True,True
2612,323,30.990000000000187,0 days 00:00:58.529723,10.176986,109204,1,1.0,109204,0 days 09:07:28.762658,True,True
2613,510,49.69000000000045,0 days 00:01:13.888291,10.086372,109715,1,1.0,109715,0 days 09:08:46.295997,True,True
2614,424,41.09000000000033,0 days 00:01:05.696137,10.182151,110140,1,1.0,110140,0 days 09:09:55.641258,True,True
2615,348,33.49000000000022,0 days 00:01:00.254556,10.322495,110489,1,1.0,110489,0 days 09:10:59.539429,True,True
2616,332,31.8900000000002,0 days 00:01:13.982861,10.117048,110822,1,1.0,110822,0 days 09:12:17.173271,True,True
2617,248,23.490000000000077,0 days 00:00:49.930442,9.986055,111071,1,1.0,111071,0 days 09:13:10.759190,True,True
2618,452,43.89000000000037,0 days 00:01:10.202279,10.056654,111524,1,1.0,111524,0 days 09:14:24.607173,True,True
2619,354,34.09000000000023,0 days 00:00:57.387083,10.325733,111879,1,1.0,111879,0 days 09:15:25.646655,True,True
2620,315,30.190000000000172,0 days 00:01:09.586031,10.554232,112195,1,1.0,112195,0 days 09:16:38.886614,True,True
